,本报告期末,上年度末,"本报告期末比上年度末
增减(%)"
总资产,"292,257,789,095.51","298,944,579,918.70",-2.24
"归属于上市公司股
东的净资产","238,646,536,390.48","233,105,984,399.47",2.38
,本报告期,上年同期,"本报告期比上年同期增
减(%)"
营业收入,"89,389,354,416.84","81,930,977,667.75",9.10
利润总额,"62,778,000,766.82","57,578,281,653.44",9.03
"归属于上市公司股
东的净利润","45,402,962,298.10","41,695,610,983.37",8.89
归属于上市公司股,"45,390,247,623.82","41,670,097,819.99",8.93
"东的扣除非经常性
损益的净利润",,,
"经营活动产生的现
金流量净额","13,119,061,031.33","36,621,833,812.63",-64.18
"加权平均净资产收
益率（%）",17.89,17.63,增加0.26个百分点
"基本每股收益（元／
股）",36.18,33.19,9.01
"稀释每股收益（元／
股）",36.18,33.19,9.01
